lead_id,customer_name,region,source,stage,stage_date,expected_value,actual_value,sales_rep,remarks
LEAD001,Raj Traders,South,Google Ads,Lead,2025-01-03,25000,,Arun,New inquiry
LEAD002,Sri Mobiles,East,Referral,Qualified,2025-01-04,18000,,Arun,Interested
LEAD003,Green Mart,North,Instagram,Proposal,2025-01-06,40000,,Bala,Sent quotation
LEAD004,Tech Solutions,West,Website,Closed Won,2025-01-10,60000,55000.0,Bala,Deal closed
LEAD005,Raj Traders,South,Google Ads,Qualified,2025-01-12,25000,,Arun,Follow-up pending
LEAD006,Fresh Foods,North,Cold Call,Closed Lost,2025-01-15,30000,,Bala,Competitor cheaper
LEAD007,Sri Mobiles,East,Referral,Proposal,2025-01-18,18000,,Arun,Needs discount
LEAD008,Mega Stores,South,Google Ads,Lead,2025-01-20,50000,,Arun,Call not picked
LEAD009,City Electronics,West,Instagram,Closed Won,2025-01-22,45000,42000.0,Bala,Final negotiation
LEAD010,Rising Traders,,Website,Qualified,2025-01-22,15000,,Arun,Region missing
